TICKER;PRECO; LIQUIDEZ MEDIA DIARIA; VALOR DE MERCADO
AALR3;12,54;18.345.947,63;1.483.391.912,64
ABCB4;17,34;13.247.389,83;3.920.402.646,12
ABEV3;19,38;468.816.088,96;305.026.535.192,76
ADHM3;1,56;94.201,44;25.439.770,20
AERI3;9,87;32.712.787,17;7.562.526.810,72
AESB3;14,46;16.281.718,04;5.771.080.279,20
AFLT3;9,88;13.474,91;623.276.836,00
AGRO3;33,55;39.365.803,75;3.434.748.618,40
AHEB3;23,83;32.329,23;203.081.409,08
AHEB5;20,01;7.967,75;203.081.409,08
AHEB6;35,99;6.699,75;203.081.409,08
ALLD3;19,55;2.565.229,92;1.778.526.235,95
ALPA3;41,64;232.706,79;26.094.520.539,54
ALPA4;47,26;108.959.109,46;26.094.520.539,54
ALPK3;8,44;242.061,21;1.635.428.134,64
ALSO3;31,64;48.073.884,79;8.409.050.695,92
ALUP11;28,15;23.617.883,79;8.248.994.074,12
ALUP3;9,19;190.320,79;8.248.994.074,12
ALUP4;9,54;245.452,63;8.248.994.074,12
AMAR3;8,23;56.367.867,08;2.153.517.261,97
AMBP3;32,5;15.802.594,42;3.670.406.610,00
ANIM3;12,89;25.788.892,38;5.205.868.896,45
APER3;50,22;6.466.242,04;576.532.329,48
APTI3;197,64;;44.442.750,00
APTI4;3.500,00;;44.442.750,00
ARZZ3;85,8;52.710.610,46;8.548.375.321,20
ASAI3;87,97;135.305.203,33;23.606.887.348,99
ATMP3;9,7;3.073.499,29;240.448.178,40
ATOM3;8,12;933.463,08;169.699.831,28
AURA33;66,25;13.888.971,58;4.686.687.975,00
AVLL3;25,9;127.044,50;580.569.064,60
AZEV3;9,6;1.456.664,71;182.160.000,00
AZEV4;9;4.609.824,38;182.160.000,00
AZUL4;44,71;302.221.693,92;56.447.020.657,11
B3SA3;17,24;727.026.810,00;105.612.240.000,00
BAHI3;74,6;67.130,26;180.462.622,00
BALM3;18,54;16.887,84;182.917.000,00
BALM4;18,79;78.325,36;182.917.000,00
BAUH4;89,99;51.185,77;469.947.757,78
BAZA3;41;125.884,68;1.215.484.647,00
BBAS3;35,75;463.365.451,54;102.438.658.465,00
BBDC3;24,08;151.624.663,63;253.477.922.397,01
BBDC4;28,09;1.042.460.665,25;253.477.922.397,01
BBML3;3.936,42;;160.451.699.191,56
BBRK3;1,87;3.741.044,33;146.854.510,88
BBSE3;24,19;121.190.860,92;48.380.000.000,00
BDLL3;10,8;34.892,29;16.297.120,08
BDLL4;9,81;49.440,46;16.297.120,08
BEEF3;10,13;86.438.359,25;5.567.742.124,55
BEES3;5,29;244.920,88;1.714.316.665,40
BEES4;5,8;20.455,50;1.714.316.665,40
BFRE11;0;;
BFRE12;0;;
BGIP3;37,8;32.147,07;487.594.371,00
BGIP4;26;32.096,86;487.594.371,00
BIDI11;66,24;302.214.309,92;50.636.813.284,80
BIDI3;22,01;23.588.099,21;50.636.813.284,80
BIDI4;22,15;189.452.421,92;50.636.813.284,80
BIOM3;15,99;207.116,38;1.082.782.869,48
BKBR3;11,55;25.361.294,54;3.180.355.412,85
BLAU3;47,99;13.526.167,00;8.609.115.132,61
BMEB3;20,29;10.229,45;1.039.909.256,68
BMEB4;19,1;112.426,46;1.039.909.256,68
BMGB4;5,08;10.474.187,21;2.962.820.647,88
BMIN3;24,5;74.970,92;116.037.260,99
BMIN4;21,43;57.721,50;116.037.260,99
BMKS3;255;25.850,00;115.961.250,00
BMOB3;21,3;29.402.888,08;1.936.363.659,60
BNBR3;69,01;32.091,00;5.960.494.730,64
BOAS3;10,86;12.114.344,79;5.740.116.639,60
BOBR3;0;;293.717.764,18
BOBR4;2,39;333.143,67;293.717.764,18
BPAC11;122,25;515.631.925,92;113.938.642.469,50
BPAC3;78,5;537.404,67;113.938.642.469,50
BPAC5;27,98;295.398,71;113.938.642.469,50
BPAN4;23,96;128.221.066,08;28.873.144.659,16
BPAR3;182,07;;1.733.606.633,43
BPAT33;44,05;;1.533.769.021,00
BPHA3;0,62;;70.110.298,74
BRAP3;61,51;3.236.441,33;23.544.234.266,11
BRAP4;70,97;168.855.733,79;23.544.234.266,11
BRDT3;27,5;226.925.793,17;32.037.500.000,00
BRFS3;28,65;464.167.518,17;23.277.358.497,90
BRGE11;10,3;4.457,14;811.904.768,12
BRGE12;6,5;2.327,33;811.904.768,12
BRGE3;9,11;16.986,61;811.904.768,12
BRGE5;10,2;1.488,83;811.904.768,12
BRGE6;13,35;2.790,25;811.904.768,12
BRGE7;5,4;;811.904.768,12
BRGE8;9,99;6.479,40;811.904.768,12
BRIV3;10,25;28.073,79;853.722.380,75
BRIV4;8,7;32.503,70;853.722.380,75
BRKM3;57,66;1.210.205,46;46.399.559.201,14
BRKM5;58,91;254.077.360,17;46.399.559.201,14
BRKM6;42,95;16.477,64;46.399.559.201,14
BRML3;11,75;180.467.230,58;10.259.410.662,75
BRPR3;9,92;14.470.473,54;4.875.782.007,36
BRQB3;0;;0
BRSR3;15,3;244.999,79;6.039.126.187,58
BRSR5;20,09;20.105,06;6.039.126.187,58
BRSR6;14,23;22.281.647,13;6.039.126.187,58
BSEV3;9;1.097.133,50;9.183.864.834,00
BSLI3;37,42;54.664,32;12.601.177.030,00
BSLI4;25,55;123.715,61;12.601.177.030,00
BTOW3;64,35;197.523.814,25;36.041.518.784,70
BTTL3;22,32;573.234,50;331.687.877,76
BTTL4;11.091,73;;331.687.877,76
CALI3;98,18;;24.582.197,20
CALI4;50;9.554,00;24.582.197,20
CAMB3;5,8;410.222,96;245.137.464,00
CAMB4;6,25;;245.137.464,00
CAML3;10,18;14.036.160,13;3.766.600.000,00
CARD3;26;10.107.405,00;1.086.800.000,00
CASH3;37,97;133.593.996,71;4.800.661.010,00
CASN3;14,3;1.520,00;9.067.999.874,79
CASN4;8,37;;9.067.999.874,79
CATA3;103,61;;14.940.354,78
CATA4;0;;14.940.354,78
CBEE3;24,01;24.998,30;4.000.890.167,26
CCPR3;14,01;6.012.514,50;2.138.548.674,45
CCRO3;13,69;185.347.902,42;27.653.800.000,00
CCXC3;1,16;;1.973.425,64
CEAB3;14,57;20.969.486,25;4.491.130.640,76
CEBR3;193;619.667,13;2.782.072.630,80
CEBR5;191;148.309,73;2.782.072.630,80
CEBR6;192,96;380.924,90;2.782.072.630,80
CEDO3;10,39;35.853,52;88.016.284,80
CEDO4;6,69;338.476,63;88.016.284,80
CEEB3;40;51.744,09;12.760.680.005,04
CEEB5;38;13.925,00;12.760.680.005,04
CEEB6;60,68;;12.760.680.005,04
CEED3;60,01;27.231,86;580.939.927,32
CEED4;60;12.226,50;580.939.927,32
CEGR3;60;50.848,40;15.578.263.920,00
CEPE3;125,67;92.909,67;8.556.621.194,31
CEPE5;27;29.862,86;8.556.621.194,31
CEPE6;27,12;10.867,43;8.556.621.194,31
CESP3;28,25;142.917,50;8.302.193.819,05
CESP5;39;28.286,61;8.302.193.819,05
CESP6;23,9;53.179.945,75;8.302.193.819,05
CGAS3;157,2;35.179,17;20.832.236.276,40
CGAS5;158,49;296.712,29;20.832.236.276,40
CGRA3;33,89;37.400,42;674.853.830,44
CGRA4;34,95;593.723,38;674.853.830,44
CIEL3;4,29;114.032.131,25;11.655.136.611,69
CLSC3;70,02;107.569,71;2.707.235.248,94
CLSC4;70,3;371.755,88;2.707.235.248,94
CMIG3;16,83;8.156.832,92;25.083.487.539,42
CMIG4;13,8;111.075.920,63;25.083.487.539,42
CMIN3;9,46;151.450.535,21;52.893.188.465,48
CMSA3;0;;0
CMSA4;0;;0
CNSY3;30,22;;935.885.083,86
COCE3;72,42;20.177,38;3.601.718.813,64
COCE5;57,87;1.344.905,50;3.601.718.813,64
COCE6;4,05;;3.601.718.813,64
COGN3;4,63;158.593.089,04;8.688.686.752,30
CORR3;2,71;;1.278.894,65
CORR4;82;;1.278.894,65
CPFE3;29,87;59.541.133,75;34.417.840.122,80
CPLE11;31,23;27.115.877,92;17.092.514.722,50
CPLE3;5,76;11.150.917,13;17.092.514.722,50
CPLE5;134,06;;17.092.514.722,50
CPLE6;6,43;56.829.672,88;17.092.514.722,50
CPRE3;18,23;5.456,00;10.824.655.047,92
CRDE3;24,6;18.324,20;59.584.963,80
CREM3;14,5;;465.122.474,00
CRFB3;22,8;90.193.888,21;45.264.666.378,00
CRIV3;5,41;20.293,91;594.052.509,04
CRIV4;6,25;20.171,39;594.052.509,04
CRPG3;70;7.000,00;2.139.570.693,26
CRPG5;75,74;942.641,08;2.139.570.693,26
CRPG6;73,8;564.865,08;2.139.570.693,26
CSAB3;65,8;10.980,00;444.672.000,00
CSAB4;50;32.198,50;444.672.000,00
CSAN3;24,6;155.043.821,50;46.102.144.927,20
CSED3;14,73;6.204.091,38;5.624.241.595,20
CSMG3;17,81;34.202.651,58;6.772.307.158,89
CSNA3;45,62;543.072.814,79;63.298.847.024,14
CSRN3;18,4;63.730,50;3.349.358.435,50
CSRN5;17;20.528,93;3.349.358.435,50
CSRN6;25,1;25.475,36;3.349.358.435,50
CTCA3;0;;0
CTKA3;28,88;40.098,61;170.960.341,92
CTKA4;26,4;149.990,10;170.960.341,92
CTNM3;12,7;53.289,00;302.119.987,50
CTNM4;7,5;242.811,54;302.119.987,50
CTSA3;2,7;180.910,17;300.507.651,00
CTSA4;2,69;336.716,79;300.507.651,00
CTSA8;0;;300.507.651,00
CURY3;9,72;9.807.993,75;2.837.025.855,36
CVCB3;27,11;135.378.291,04;5.453.915.464,38
CXSE3;11,7;63.652.398,50;35.100.000.000,00
CYRE3;26,2;164.838.068,13;10.473.261.333,80
DASA3;65,1;16.815.618,50;35.672.403.538,80
DIRR3;14,18;22.255.878,54;2.127.000.000,00
DMMO3;1,06;8.350.184,96;328.698.654,20
DMVF3;9,63;2.733.294,63;487.305.368,46
DOHL3;27;10.952,23;1.610.402.409,00
DOHL4;6,6;267.850,58;1.610.402.409,00
DOTZ3;13,14;10.776.985,25;1.719.947.843,28
DTCY3;10,1;18.365,95;136.083.810,60
DTCY4;62,6;;136.083.810,60
DTEX3;22,64;54.901.363,71;15.662.001.102,64
EALT3;15,51;31.925,54;253.222.500,00
EALT4;8;555.991,83;253.222.500,00
ECOR3;13,08;59.070.392,00;7.307.783.966,40
ECPR3;77;7.733,00;139.130.874,01
ECPR4;68,79;24.877,00;139.130.874,01
EEEL3;520;52.000,00;5.033.401.114,36
EEEL4;592,63;60.000,00;5.033.401.114,36
EGIE3;40,73;66.559.141,92;33.232.736.850,20
EKTR3;43;4.967,50;6.701.595.707,00
EKTR4;27;123.408,10;6.701.595.707,00
ELEK3;19,11;11.501,50;905.051.916,30
ELEK4;36,99;52.244,08;905.051.916,30
ELET3;45,61;296.250.780,33;71.600.952.052,20
ELET5;63,23;49.082,57;71.600.952.052,20
ELET6;45,76;135.915.566,04;71.600.952.052,20
ELMD3;19,57;3.682.941,75;2.702.095.224,66
ELPL3;8,41;;1.660.696.309,42
EMAE3;25,35;;2.414.570.474,70
EMAE4;91,8;449.935,88;2.414.570.474,70
EMBR3;17,26;169.801.190,50;12.780.426.659,44
ENAT3;16,37;24.107.834,88;4.351.259.034,85
ENBR3;18,81;65.038.255,50;11.414.855.911,14
ENEV3;17,94;103.677.460,58;22.712.725.648,86
ENGI11;47,03;78.292.907,75;17.067.769.325,46
ENGI3;17,61;298.121,04;17.067.769.325,46
ENGI4;7,36;285.060,42;17.067.769.325,46
ENJU3;10,68;20.298.873,92;2.113.099.762,44
ENMA3B;50,49;;
ENMA6B;83,99;;
ENMT3;59;64.290,90;12.917.574.401,00
ENMT4;59;41.851,42;12.917.574.401,00
EQPA3;4,95;165.282,29;10.937.632.931,83
EQPA5;5,56;60.461,00;10.937.632.931,83
EQPA6;10,48;1.068,00;10.937.632.931,83
EQPA7;5,38;32.237,63;10.937.632.931,83
EQTL3;24,89;152.978.449,83;25.151.620.905,65
ESPA3;19,14;26.525.073,67;4.674.668.733,24
ESTR3;17,8;;27.430.010,00
ESTR4;42;37.551,14;27.430.010,00
ETER3;32,71;108.686.930,96;1.690.307.404,05
EUCA3;22,05;151.354,54;1.387.526.792,28
EUCA4;11,38;4.708.052,50;1.387.526.792,28
EVEN3;11,22;15.810.583,58;2.378.640.000,00
EZTC3;33,81;87.560.096,88;7.674.870.000,00
FBMC3;0;;904.253,84
FBMC4;1,96;;904.253,84
FESA3;52,11;51.135,65;3.929.945.600,00
FESA4;40,69;21.752.862,54;3.929.945.600,00
FHER3;33,35;65.509.960,00;1.796.140.421,40
FIGE3;0;;0
FIGE4;0;;0
FLEX3;0;;0
FLRY3;26,85;48.845.930,21;8.521.279.865,55
FNCN3;0;;0
FRAS3;12,17;1.900.526,33;2.647.782.394,31
FRIO3;70,99;127.840,50;291.538.466,46
FRTA3;8,2;318.105,08;16.409.069,20
FTRT3B;0;;0
G2DI33;6,14;1.691.150,93;628.356.400,64
GBIO33;10,4;5.159.958,21;1.108.871.982,40
GEPA3;37,2;11.326,29;3.477.033.480,06
GEPA4;36,63;47.889,04;3.477.033.480,06
GFSA3;4,65;21.814.414,17;1.398.143.869,65
GGBR3;27,59;4.980.446,88;53.026.556.468,67
GGBR4;32,46;529.145.960,38;53.026.556.468,67
GGPS3;17,29;13.375.089,42;11.540.915.759,10
GMAT3;8,03;33.792.818,63;17.741.049.014,37
GNDI3;86,1;261.947.826,46;52.972.347.134,70
GOAU3;13,81;1.628.449,58;15.520.321.049,34
GOAU4;14,51;163.524.194,42;15.520.321.049,34
GOLL4;26,48;163.684.445,46;83.086.480.486,16
GPAR3;48,51;17.826,38;3.780.308.236,32
GPCP3;51;14.450.323,00;1.588.822.052,85
GPCP4;46,11;219.616,57;1.588.822.052,85
GPIV33;5,1;1.058.009,29;384.139.813,20
GRND3;10,2;19.463.526,25;9.202.032.000,00
GSHP3;42,6;102.388,45;82.165.559,40
GUAR3;22;17.454.729,04;10.982.400.000,00
HAGA3;4,18;162.585,25;44.347.333,56
HAGA4;3,5;1.106.204,75;44.347.333,56
HAPV3;15,68;169.665.632,29;60.366.895.030,40
HBOR3;9,78;17.312.449,88;1.309.063.484,16
